"clean_names","name","AphiaID","HAB"
"Actinocyclus_spp","Actinocyclus",196347,FALSE
"Air_bubbles","",NA,FALSE
"Akashiwo_sanguinea","Akashiwo sanguinea",232546,TRUE
"Akinete","Cyanophyceae",146542,FALSE
"Alexandrium_pseudogonyaulax","Alexandrium pseudogonyaulax",109713,TRUE
"Amphidinium-Katodinium","Dinophyceae",19542,FALSE
"Amphidinium-Katodinium2","Dinophyceae",19542,FALSE
"Amphidinium-like","Amphidiniaceae",1308689,FALSE
"Amphidinium_crassum","Amphidinium crassum",109726,FALSE
"Amylax_triacantha","Amylax triacantha",110007,FALSE
"Apedinella_radians","Apedinella radians",248097,FALSE
"Aphanizomenon_flosaquae_spp_bundle","Aphanizomenon flos-aquae",248099,TRUE
"Aphanizomenon_flosaquae_spp_filament","Aphanizomenon flos-aquae",248099,TRUE
"Apocalathium_malmogiense","Apocalathium malmogiense",1380043,FALSE
"Asterionellopsis_glacialis","Asterionellopsis glacialis",149139,FALSE
"Asterionellopsis_glacialis_single","Asterionellopsis glacialis",149139,FALSE
"Attheya_spp","Attheya",160519,FALSE
"Beads","",NA,FALSE
"Binuclearia_lauterbornii","Binuclearia lauterbornii",575737,FALSE
"Calciopappus_sp","Calciopappus",235858,FALSE
"Centrales_single","Centrales",341285,FALSE
"Cerataulina_pelagica","Cerataulina pelagica",149619,FALSE
"Chaetoceros_cf_convolutus","Chaetoceros",148985,FALSE
"Chaetoceros_contortus","Chaetoceros contortus",149623,FALSE
"Chaetoceros_curvisetus_Chaetoceros_debilis","Chaetoceros",148985,FALSE
"Chaetoceros_danicus","Chaetoceros danicus",149120,FALSE
"Chaetoceros_decipiens","Chaetoceros decipiens",149126,FALSE
"Chaetoceros_diadema","Chaetoceros diadema",149128,FALSE
"Chaetoceros_spp_chain","Chaetoceros",148985,FALSE
"Chaetoceros_spp_single","Chaetoceros",148985,FALSE
"Chaetoceros_tenuissimus-like","Chaetoceros",148985,FALSE
"Chlorococcales","Chlorococcales",17111,FALSE
"Chroococcales","Chroococcales",146543,FALSE
"Chroococcus_spp","Chroococcus",146565,FALSE
"Chrysochromulina_lanceolata","Chrysochromulina lanceolata",388470,FALSE
"Chrysochromulina_parkeae","Chrysochromulina parkeae",115126,FALSE
"Ciliophora","Ciliophora",11,FALSE
"Cocconeis-like","Cocconeidaceae",148988,FALSE
"Cochlodinium-like","Gymnodiniaceae",109410,FALSE
"Corethron","Corethron",149109,FALSE
"Coscinodiscus_spp","Coscinodiscus",148917,FALSE
"Cryptomonadales","Cryptomonadales",17640,FALSE
"Cryptophyta","Cryptophyta",17638,FALSE
"Cyclotella_spp","Cyclotella",148905,FALSE
"Cylindrotheca_closterium_Nitzschia_longissima","Bacillariaceae",149002,FALSE
"Cymbomonas_tetramitiformis","Cymbomonas tetramitiformis",134545,FALSE
"Dactyliosolen_fragilissimus","Dactyliosolen fragilissimus",149310,FALSE
"Debris","",NA,FALSE
"Diatoma_tenuis-like_chain","Diatoma",149013,FALSE
"Diatoma_tenuis-like_single_cell","Diatoma",149013,FALSE
"Dictyocha_fibula","Dictyocha fibula",157463,FALSE
"Dictyochales","Dictyochales",157256,FALSE
"Dictyochales_transformation","Dictyochales",157256,FALSE
"Dinobryon_spp","Dinobryon",157240,FALSE
"Dinophyceae","Dinophyceae",19542,FALSE
"Dinophyceae_larger_than_30","Dinophyceae",19542,FALSE
"Dinophyceae_pair","Dinophyceae",19542,FALSE
"Dinophyceae_smaller_than_30","Dinophyceae",19542,FALSE
"Dinophysis_acuminata","Dinophysis acuminata",109603,TRUE
"Dinophysis_acuta","Dinophysis acuta",109604,TRUE
"Dinophysis_norvegica","Dinophysis norvegica",109637,TRUE
"Dinophysis_spp","Dinophysis",109462,FALSE
"Dinophysis_tripos","Dinophysis tripos",109662,TRUE
"Ditylum_brightwellii","Ditylum brightwellii",149023,FALSE
"Dolichospermum_spp_coil","Dolichospermum",603709,FALSE
"Dolichospermum_spp_filament","Dolichospermum",603709,FALSE
"Ebria_tripartita","Ebria tripartita",118051,FALSE
"Echinoderm_larvae","Echinodermata",1806,FALSE
"Ensiculifera_carinata","Ensiculifera carinata",233835,FALSE
"Eucampia","Eucampia",149130,FALSE
"Euglenophyceae","Euglenophyceae",19539,FALSE
"Eutreptiella_braarudii","Eutreptiella braarudii",248121,FALSE
